iter	Passed	Remaining
0	63	63127
1	67	33780
2	71	23808
3	76	19081
4	81	16148
5	86	14284
6	90	12839
7	94	11698
8	98	10829
9	102	10191
10	107	9630
11	110	9138
12	115	8748
13	119	8407
14	124	8181
15	129	7937
16	133	7732
17	137	7527
18	142	7350
19	148	7256
20	153	7137
21	157	6985
22	161	6852
23	165	6716
24	169	6595
25	174	6528
26	178	6433
27	182	6339
28	187	6292
29	192	6210
30	196	6131
31	199	6046
32	204	5982
33	207	5909
34	212	5852
35	216	5784
36	220	5728
37	223	5670
38	227	5616
39	232	5570
40	236	5525
41	241	5499
42	246	5494
43	251	5472
44	256	5443
45	261	5421
46	265	5388
47	270	5362
48	274	5329
49	280	5320
50	284	5299
51	289	5276
52	293	5248
53	298	5222
54	302	5200
55	307	5182
56	312	5165
57	317	5153
58	321	5133
59	326	5110
60	331	5099
61	336	5094
62	343	5106
63	349	5105
64	362	5210
65	371	5260
66	387	5397
67	393	5398
68	399	5396
69	405	5388
70	410	5373
71	416	5372
72	422	5368
73	428	5367
74	436	5380
75	442	5379
76	449	5382
77	455	5381
78	462	5388
79	468	5393
80	476	5407
81	486	5450
82	495	5478
83	504	5501
84	514	5534
85	522	5555
86	531	5576
87	539	5586
88	547	5604
89	555	5616
90	563	5632
91	571	5643
92	580	5661
93	596	5750
94	607	5787
95	616	5808
96	624	5809
97	632	5817
98	639	5822
99	648	5832
100	656	5839
101	663	5840
102	670	5842
103	678	5849
104	686	5854
105	697	5881
106	704	5875
107	710	5867
108	715	5852
109	721	5839
110	727	5829
111	733	5815
112	739	5807
113	745	5796
114	751	5784
115	757	5771
116	763	5761
117	769	5748
118	774	5737
119	780	5723
120	786	5710
121	793	5707
122	800	5705
123	805	5693
124	812	5684
125	817	5671
126	823	5661
127	828	5645
128	833	5627
129	838	5612
130	843	5596
131	848	5578
132	853	5561
133	858	5545
134	864	5536
135	869	5524
136	875	5516
137	880	5499
138	885	5485
139	891	5473
140	896	5458
141	902	5452
142	907	5440
143	912	5422
144	917	5407
145	922	5393
146	927	5382
147	932	5367
148	937	5354
149	942	5339
150	947	5324
151	951	5309
152	956	5296
153	961	5281
154	965	5265
155	970	5250
156	975	5238
157	980	5224
158	985	5214
159	991	5205
160	996	5194
161	1001	5182
162	1008	5177
163	1012	5163
164	1017	5151
165	1023	5140
166	1028	5130
167	1033	5120
168	1039	5113
169	1045	5103
170	1050	5094
171	1056	5087
172	1061	5076
173	1067	5068
174	1073	5059
175	1078	5050
176	1084	5040
177	1089	5032
178	1094	5019
179	1099	5007
180	1104	4997
181	1111	4994
182	1117	4987
183	1123	4981
184	1129	4975
185	1134	4963
186	1140	4956
187	1145	4947
188	1151	4938
189	1156	4929
190	1160	4917
191	1166	4907
192	1172	4902
193	1177	4890
194	1182	4881
195	1187	4871
196	1193	4862
197	1198	4856
198	1204	4848
199	1211	4845
200	1217	4840
201	1224	4835
202	1230	4829
203	1236	4824
204	1242	4818
205	1248	4811
206	1255	4808
207	1261	4802
208	1266	4794
209	1272	4787
210	1278	4780
211	1283	4772
212	1289	4764
213	1295	4756
214	1300	4747
215	1306	4741
216	1311	4733
217	1318	4730
218	1324	4723
219	1329	4715
220	1348	4751
221	1362	4775
222	1385	4827
223	1405	4868
224	1416	4878
225	1423	4874
226	1429	4868
227	1435	4861
228	1441	4854
229	1448	4849
230	1454	4842
231	1460	4835
232	1466	4828
233	1472	4821
234	1478	4813
235	1484	4805
236	1489	4795
237	1495	4788
238	1501	4780
239	1507	4772
240	1513	4767
241	1520	4761
242	1525	4751
243	1531	4745
244	1537	4737
245	1542	4729
246	1549	4724
247	1555	4717
248	1561	4708
249	1566	4700
250	1572	4691
251	1578	4684
252	1583	4675
253	1589	4667
254	1595	4661
255	1600	4652
256	1606	4644
257	1612	4637
258	1619	4632
259	1624	4624
260	1630	4617
261	1636	4608
262	1641	4600
263	1647	4593
264	1654	4589
265	1662	4586
266	1668	4581
267	1676	4578
268	1683	4574
269	1690	4569
270	1695	4561
271	1701	4553
272	1707	4546
273	1712	4538
274	1719	4533
275	1725	4525
276	1730	4516
277	1735	4508
278	1742	4502
279	1748	4495
280	1754	4488
281	1761	4485
282	1768	4481
283	1775	4475
284	1780	4467
285	1787	4461
286	1794	4457
287	1800	4450
288	1806	4445
289	1813	4439
290	1821	4436
291	1827	4429
292	1832	4421
293	1837	4413
294	1843	4405
295	1849	4397
296	1854	4389
297	1859	4380
298	1864	4371
299	1871	4365
300	1876	4358
301	1881	4349
302	1887	4341
303	1892	4333
304	1899	4327
305	1904	4320
306	1910	4312
307	1916	4304
308	1924	4302
309	1928	4292
310	1933	4283
311	1939	4276
312	1944	4268
313	1950	4260
314	1955	4251
315	1959	4242
316	1965	4235
317	1971	4227
318	1976	4219
319	1981	4211
320	1988	4205
321	1993	4197
322	1998	4189
323	2003	4180
324	2009	4173
325	2014	4165
326	2020	4158
327	2026	4152
328	2031	4144
329	2037	4137
330	2042	4127
331	2047	4120
332	2053	4113
333	2058	4105
334	2064	4097
335	2069	4090
336	2075	4083
337	2080	4075
338	2085	4067
339	2091	4059
340	2096	4051
341	2102	4045
342	2107	4036
343	2112	4028
344	2117	4020
345	2123	4013
346	2129	4008
347	2135	4001
348	2141	3994
349	2146	3985
350	2151	3977
351	2156	3970
352	2162	3963
353	2167	3955
354	2172	3947
355	2178	3941
356	2184	3934
357	2189	3926
358	2194	3918
359	2200	3911
360	2205	3904
361	2211	3897
362	2216	3889
363	2221	3881
364	2226	3874
365	2233	3868
366	2239	3862
367	2254	3872
368	2268	3879
369	2282	3885
370	2289	3882
371	2296	3876
372	2303	3872
373	2309	3866
374	2315	3859
375	2331	3868
376	2342	3870
377	2352	3870
378	2368	3880
379	2374	3874
380	2388	3880
381	2394	3874
382	2401	3868
383	2407	3862
384	2414	3856
385	2419	3848
386	2425	3841
387	2431	3835
388	2437	3827
389	2442	3820
390	2449	3814
391	2454	3806
392	2459	3799
393	2468	3796
394	2473	3788
395	2479	3781
396	2485	3774
397	2492	3769
398	2498	3763
399	2504	3756
400	2509	3748
401	2515	3741
402	2520	3734
403	2526	3727
404	2532	3720
405	2538	3713
406	2543	3706
407	2549	3699
408	2554	3691
409	2560	3684
